date,elec1,elec2,elec3,elec4,elec5
2014-01-01,263.25,392.5,209.32999999999996,232.44,101.3
2014-01-02,267.3,349.36,852.8299999999999,773.1999999999999,354.4900000000001
2014-01-03,295.8999999999999,336.5799999999998,866.2300000000004,758.4,390.7499999999999
2014-01-04,342.45,327.73999999999984,323.86,529.4799999999998,183.04000000000002
2014-01-05,352.05000000000007,334.85999999999984,305.69999999999993,514.76,181.66999999999996
2014-01-06,308.55,297.6,902.9499999999999,820.04,376.22999999999985
2014-01-07,274.55000000000007,280.46000000000004,940.7800000000001,779.08,359.11
2014-01-08,277.55,271.42,882.6100000000001,818.4400000000002,300.3
2014-01-09,261.2,267.97999999999996,841.6500000000002,791.3399999999999,307.7699999999999
2014-01-10,270.30000000000007,275.34,798.01,713.7400000000001,294.7699999999999
2014-01-11,167.95000000000002,319.4,274.75000000000006,443.8400000000001,129.64000000000001
2014-01-12,192.24999999999994,335.21999999999997,302.78000000000003,458.98000000000013,121.74
2014-01-13,295.49999999999994,291.41999999999996,951.4399999999999,870.5200000000001,331.4200000000001
2014-01-14,334.90000000000003,288.70000000000005,892.7,873.9600000000003,305.51
2014-01-15,231.99999999999997,274.3400000000001,899.0899999999999,840.4399999999999,282.3600000000001
2014-01-16,286.40000000000003,250.83999999999992,879.6600000000001,875.48,280.76
2014-01-17,262.45,249.98,796.7100000000003,810.64,271.3300000000001
2014-01-18,187.79999999999998,276.28,254.26,433.54,106.09000000000005
2014-01-19,190.2,282.0800000000001,235.28,402.32000000000005,103.82000000000001
2014-01-20,208.64999999999995,266.64,910.32,834.22,289.74
2014-01-21,249.0,288.74,862.3599999999998,780.9599999999998,298.5700000000001
2014-01-22,333.6,271.0400000000001,897.0099999999999,766.88,313.38
2014-01-23,334.30000000000007,273.8400000000001,910.35,725.4200000000001,335.96999999999997
2014-01-24,337.15000000000003,288.87999999999994,902.6700000000001,745.6199999999998,330.40000000000003
2014-01-25,267.75,342.58000000000004,240.01999999999998,391.4199999999999,111.32000000000002
2014-01-26,293.20000000000005,373.34,352.21000000000004,392.29999999999995,181.51000000000002
2014-01-27,395.6500000000001,317.3400000000001,791.0060000000003,751.18,375.23
2014-01-28,377.55,310.41999999999996,759.088,802.8399999999999,379.46999999999997
2014-01-29,426.54999999999995,309.58000000000004,892.0949999999999,796.9799999999999,424.16
2014-01-30,397.20000000000005,304.72,871.853,754.9200000000001,371.89000000000004
2014-01-31,392.65,320.94,840.9160000000004,730.14,423.42999999999995
2014-02-01,270.49999999999994,363.14,273.23299999999995,410.9800000000002,117.14999999999998
2014-02-02,240.45,373.55999999999995,299.006,351.09999999999997,112.94
2014-02-03,336.05,327.85999999999996,792.8690000000003,805.5199999999998,410.6
2014-02-04,333.85,313.91999999999996,568.786,832.1799999999998,434.0400000000001
2014-02-05,354.40000000000003,316.3599999999999,533.735,787.08,405.14
2014-02-06,315.24999999999994,339.97999999999996,559.5780000000001,668.4000000000001,378.77000000000004
2014-02-07,319.15000000000003,317.78000000000003,514.6389999999998,693.1000000000001,344.23
2014-02-08,230.10000000000005,380.71999999999997,166.16500000000002,335.61999999999995,130.37
2014-02-09,256.1,409.36,142.25,351.28000000000003,129.95999999999998
2014-02-10,328.69999999999993,347.32000000000005,506.35999999999984,642.2400000000001,321.0200000000002
2014-02-11,349.84999999999997,331.06,808.629,663.1600000000001,273.91999999999996
2014-02-12,422.3999999999999,315.0400000000001,758.2280000000001,746.02,284.78000000000003
2014-02-13,419.0499999999999,303.44,772.1519999999999,791.16,266.32000000000005
2014-02-14,400.0999999999999,314.26000000000016,735.462,766.6600000000002,246.79999999999995
2014-02-15,264.7,357.7799999999999,164.30399999999995,385.9199999999999,55.089999999999996
2014-02-16,267.65000000000003,354.12,128.52100000000004,346.22,18.750000000000004
2014-02-17,370.7999999999999,599.0799999999999,478.491,684.4600000000003,0.0
2014-02-18,359.55000000000007,628.28,421.144,744.8,0.0
2014-02-19,345.0499999999999,636.1599999999999,490.74299999999994,821.5600000000001,0.0
2014-02-20,326.6499999999999,609.5999999999999,519.67,723.0400000000001,0.0
2014-02-21,338.20000000000005,605.88,454.38599999999985,722.7199999999996,0.0
2014-02-22,246.04999999999998,515.54,131.14700000000002,470.32000000000005,0.0
2014-02-23,239.75,457.43999999999994,136.11699999999996,387.5399999999999,0.0
2014-02-24,339.4,627.8799999999998,469.29799999999994,725.3000000000002,0.0
2014-02-25,346.6499999999999,623.12,539.1920000000001,739.6999999999998,0.0
2014-02-26,338.00000000000006,630.7400000000002,454.04299999999984,712.4599999999999,0.0
2014-02-27,358.35000000000014,635.7599999999999,510.9959999999999,680.7799999999999,0.0
2014-02-28,373.3999999999999,603.0800000000002,449.3350000000001,726.22,0.0
2014-03-01,253.95000000000002,436.60000000000014,224.31699999999998,507.5399999999998,0.0
2014-03-02,263.25,410.18,126.842,326.26000000000005,0.0
2014-03-03,371.49999999999994,572.34,541.0499999999998,715.24,0.0
2014-03-04,372.34999999999997,595.2600000000001,495.512,713.6999999999999,0.0
2014-03-05,364.6,607.24,431.94399999999996,698.1200000000001,0.0
2014-03-06,341.6,584.4999999999998,435.51999999999987,671.5600000000001,0.0
2014-03-07,325.1499999999999,546.58,419.399,687.8199999999999,0.0
2014-03-08,243.74999999999997,400.3399999999999,144.88800000000003,481.6400000000001,0.0
2014-03-09,227.04999999999995,388.70000000000005,177.50800000000004,380.1199999999998,0.0
2014-03-10,259.1,557.5999999999999,431.057,689.1200000000001,0.0
2014-03-11,241.7,630.5,452.51099999999997,733.4200000000001,0.0
