date,elec1,gas
2014-01-01,1634.7,0.0
2014-01-02,1811.0000000000005,0.0
2014-01-03,1831.7000000000003,0.0
2014-01-04,1272.2,0.0
2014-01-05,1247.3999999999999,0.0
2014-01-06,1859.5000000000005,0.0
2014-01-07,1963.9999999999998,0.0
2014-01-08,1947.0999999999997,0.0
2014-01-09,1959.9999999999998,0.0
2014-01-10,1890.2,0.0
2014-01-11,1296.4,0.0
2014-01-12,1307.3,0.0
2014-01-13,2004.7,0.0
2014-01-14,1974.2000000000003,0.0
2014-01-15,1933.1999999999998,0.0
2014-01-16,1944.0000000000007,806.6669999999998
2014-01-17,1868.5000000000002,1185.6969999999997
2014-01-18,1287.7,0.0
2014-01-19,1283.2999999999997,0.0
2014-01-20,1886.8999999999999,1358.7769999999996
2014-01-21,1914.9999999999998,1272.3260000000005
2014-01-22,2010.7999999999995,1133.2339999999995
2014-01-23,2010.8999999999999,1242.4180000000003
2014-01-24,1923.1999999999998,1195.3830000000003
2014-01-25,1321.9999999999998,8.886000000000001
2014-01-26,1309.4999999999998,0.0
2014-01-27,1906.6000000000004,1840.1750000000004
2014-01-28,2004.8,1706.8509999999999
2014-01-29,2005.8,1773.1349999999995
2014-01-30,1972.9999999999998,1570.092
2014-01-31,1897.1,1560.07
2014-02-01,1300.8,0.0
2014-02-02,1297.1000000000001,0.0
2014-02-03,1924.6,1689.7610000000002
2014-02-04,1917.5999999999995,1571.6419999999996
2014-02-05,1986.8999999999999,1501.4659999999994
2014-02-06,1918.6000000000001,1497.9370000000001
2014-02-07,1879.7000000000003,1427.5670000000007
2014-02-08,1311.4,0.0
2014-02-09,1333.4,0.0
2014-02-10,1847.5,1661.7920000000001
2014-02-11,1891.5,1523.3100000000002
2014-02-12,1854.2999999999997,1526.6320000000003
2014-02-13,1871.1000000000004,1495.6140000000005
2014-02-14,1825.8,1454.7330000000002
2014-02-15,1297.2999999999995,0.0
2014-02-16,1242.4,187.853
2014-02-17,1882.3,2151.902
2014-02-18,2071.6999999999994,2422.892999999999
2014-02-19,1925.9999999999998,2190.9909999999995
2014-02-20,1922.3000000000002,1977.1350000000002
2014-02-21,1833.7999999999997,1918.8149999999998
2014-02-22,1213.3999999999996,0.0
2014-02-23,1187.3999999999999,0.0
2014-02-24,1880.7,2023.289
2014-02-25,1917.8000000000002,2009.9739999999993
2014-02-26,1902.4999999999998,1702.425
2014-02-27,1941.7999999999997,2047.5970000000004
2014-02-28,1887.0,2259.457
2014-03-01,1200.3000000000002,0.0
2014-03-02,1171.5000000000002,0.0
2014-03-03,1512.6000000000001,2229.0160000000005
2014-03-04,1298.1,2031.038
2014-03-05,1022.3000000000002,1786.3200000000002
2014-03-06,1245.3999999999999,1750.0470000000005
2014-03-07,1130.5,1388.8420000000003
2014-03-08,812.2999999999997,0.0
2014-03-09,573.2,0.0
2014-03-10,899.5000000000003,1484.0440000000003
2014-03-11,883.1999999999998,1609.7210000000005
2014-03-12,904.2000000000004,1362.86
2014-03-13,864.9,1119.953
2014-03-14,900.4999999999999,1009.607
2014-03-15,525.0999999999998,0.0
2014-03-16,534.3999999999999,0.0
2014-03-17,802.3000000000002,1357.1299999999999
2014-03-18,872.7999999999998,1309.491
2014-03-19,738.0,1173.2250000000001
2014-03-20,875.2,0.0
2014-03-21,845.8000000000002,0.0
2014-03-22,626.9000000000001,0.0
2014-03-23,618.9,0.0
2014-03-24,932.4000000000002,0.0
2014-03-25,915.4000000000001,0.0
2014-03-26,931.6,0.0
2014-03-27,855.1,0.0
2014-03-28,878.7000000000002,0.0
2014-03-29,495.2,0.0
2014-03-30,484.4,0.0
2014-03-31,746.0,0.0
2014-04-01,691.9000000000001,0.0
2014-04-02,744.9,0.0
2014-04-03,719.8,0.0
2014-04-04,712.7999999999998,0.0
2014-04-05,357.39999999999986,0.0
2014-04-06,345.19999999999993,0.0
2014-04-07,595.2,0.0
2014-04-08,658.8000000000001,0.0
2014-04-09,676.2,0.0
2014-04-10,615.1000000000003,0.0
2014-04-11,577.9,0.0
2014-04-12,363.59999999999997,0.0
2014-04-13,358.90000000000003,0.0
2014-04-14,611.2,0.0
2014-04-15,568.8000000000001,0.0
2014-04-16,531.5000000000001,0.0
2014-04-17,597.6000000000001,0.0
2014-04-18,465.00000000000006,0.0
2014-04-19,355.30000000000007,0.0
2014-04-20,346.00000000000006,0.0
2014-04-21,476.5,0.0
2014-04-22,590.3999999999999,0.0
2014-04-23,585.0999999999998,0.0
2014-04-24,569.4,0.0
2014-04-25,579.1000000000001,0.0
2014-04-26,365.30000000000007,0.0
2014-04-27,340.80000000000007,0.0
2014-04-28,767.6999999999998,0.0
2014-04-29,588.0999999999999,340.7240000000001
2014-04-30,599.9999999999999,316.38599999999997
2014-05-01,592.0,0.0
2014-05-02,577.2000000000003,0.0
2014-05-03,374.7999999999999,0.0
2014-05-04,355.1000000000001,0.0
2014-05-05,480.5,0.0
2014-05-06,546.1999999999999,0.0
2014-05-07,519.7,337.78800000000007
2014-05-08,598.3000000000002,0.0
2014-05-09,543.4000000000001,0.0
2014-05-10,331.00000000000006,0.0
2014-05-11,339.69999999999993,0.0
2014-05-12,603.1999999999999,499.6469999999999
2014-05-13,627.8000000000002,692.9309999999998
2014-05-14,644.6,535.391
2014-05-15,607.6000000000001,123.28699999999998
2014-05-16,543.9000000000002,89.96499999999997
2014-05-17,309.2999999999999,0.0
2014-05-18,279.7999999999999,0.0
2014-05-19,650.4000000000001,71.08499999999998
2014-05-20,605.7,51.091
2014-05-21,559.7000000000002,77.553
