length,elec1,elec2,elec3
00:00,9.87788461538462,3.788134615384618,0.0
00:30,9.787500000000001,3.8808942307692313,9.615384615384616e-06
01:00,9.528846153846159,3.8930673076923066,0.0
01:30,9.274999999999999,3.970557692307693,0.0
02:00,8.892307692307693,3.9272596153846147,0.0
02:30,8.67884615384615,3.9841250000000006,0.0
03:00,8.459615384615384,3.9968557692307702,0.0
03:30,8.43653846153846,3.972490384615386,9.615384615384616e-06
04:00,8.376923076923076,4.016836538461539,0.0
04:30,8.378846153846151,4.094000000000001,0.0
05:00,8.368269230769227,4.138423076923076,0.0
05:30,8.380769230769229,4.167807692307693,0.0
06:00,8.378846153846153,4.224807692307691,0.0
06:30,8.402884615384611,4.419028846153845,9.615384615384616e-06
07:00,8.393269230769228,4.366057692307692,9.615384615384616e-06
07:30,8.51057692307692,4.273817307692306,5.769230769230769e-05
08:00,8.580769230769231,4.303076923076923,6.73076923076923e-05
08:30,8.674038461538462,4.473451923076921,4.807692307692308e-05
09:00,8.777884615384616,4.665173076923074,5.769230769230769e-05
09:30,8.853846153846153,4.281817307692309,2.8846153846153845e-05
10:00,8.929807692307689,4.316451923076927,0.0
10:30,9.019230769230772,4.096913461538463,1.923076923076923e-05
11:00,9.08173076923077,4.245144230769232,9.615384615384616e-06
11:30,9.207692307692307,4.0094519230769246,3.846153846153846e-05
12:00,9.280769230769234,3.988788461538463,4.807692307692308e-05
12:30,9.365384615384615,3.859913461538461,6.73076923076923e-05
13:00,9.381730769230769,3.8473653846153844,4.807692307692308e-05
13:30,9.481730769230772,3.8621730769230784,2.8846153846153845e-05
14:00,9.504807692307692,3.8694326923076905,9.615384615384616e-06
14:30,9.526923076923074,3.8147596153846144,9.615384615384616e-06
15:00,9.516346153846154,3.7579134615384615,9.615384615384616e-06
15:30,9.534615384615384,3.529211538461539,1.923076923076923e-05
16:00,9.57403846153846,3.50085576923077,2.8846153846153845e-05
16:30,9.518269230769231,3.2987403846153844,1.923076923076923e-05
17:00,9.487499999999995,3.2621346153846145,9.615384615384616e-06
17:30,9.487499999999999,3.2811249999999985,9.615384615384616e-06
18:00,9.468269230769232,3.3499326923076933,9.615384615384616e-06
18:30,9.475000000000001,3.3779326923076924,0.0
19:00,9.38653846153846,3.4566634615384597,1.923076923076923e-05
19:30,9.309615384615386,3.488932692307693,9.615384615384616e-06
20:00,9.153846153846152,3.4578269230769245,9.615384615384616e-06
20:30,9.107692307692307,3.519721153846154,9.615384615384616e-06
21:00,9.03173076923077,3.7011923076923066,0.0
21:30,9.014423076923075,3.783451923076923,0.0
22:00,8.984615384615383,3.8585288461538476,0.0
22:30,8.909615384615382,3.8702115384615396,1.923076923076923e-05
23:00,8.815384615384614,3.89648076923077,0.0
23:30,8.760194174757286,3.9968349514563126,9.70873786407767e-06
