date,elec1,gas
2014-01-31,0.0,24619.374000000007
2014-02-28,0.0,20117.575000000223
2014-03-31,0.0,15843.278000000124
2014-04-30,0.0,12644.316000000066
2014-05-31,26792.800000000017,12602.618000000013
2014-06-30,36332.499999999985,8221.563999999978
2014-07-31,40217.70000000001,4670.143999999995
2014-08-31,37843.59999999999,1423.1099999999994
2014-09-30,38473.599999999904,8641.73099999996
2014-10-31,40241.10000000005,15902.422000000075
2014-11-30,38677.10000000002,18101.061000000012
2014-12-31,40663.49999999999,20949.60399999994
