length,elec1,gas
00:00,24.362934362934368,0.0
00:30,27.327203065134075,0.0
01:00,26.896551724137932,6.303973180076628
01:30,26.822988505747112,34.360773946360155
02:00,26.59693486590036,10.869597701149425
02:30,26.573180076628365,10.160360153256702
03:00,26.30881226053639,11.393716475095788
03:30,26.20996168582375,10.868800766283526
04:00,26.08045977011494,10.828544061302683
04:30,25.921839080459765,11.783000000000003
05:00,25.84597701149425,10.367030651340997
05:30,29.646743295019157,11.179570881226054
06:00,47.72643678160921,11.270954022988509
06:30,46.792337164750975,17.590685823754793
07:00,51.17777777777777,11.697199233716475
07:30,75.2659003831417,20.08591954022988
08:00,75.21762452107279,24.947321839080455
08:30,83.91877394636018,26.134800766283515
09:00,91.17241379310339,26.875505747126443
09:30,97.57164750957848,26.482701149425285
10:00,101.33716475095783,26.17648659003831
10:30,102.08429118773957,25.806494252873573
11:00,101.10268199233718,24.07895019157089
11:30,104.0329501915709,25.54017241379311
12:00,104.13180076628363,25.059919540229878
12:30,104.57318007662835,24.92106896551725
13:00,104.75249042145597,24.29692337164751
13:30,104.79923371647499,24.607973180076637
14:00,105.22068965517235,24.47940996168583
14:30,105.6015325670498,24.241835249042147
15:00,105.49578544061298,25.404885057471265
15:30,105.70574712643679,24.687567049808425
16:00,105.38237547892719,24.348421455938702
16:30,104.40459770114941,24.776241379310346
17:00,103.59923371647508,24.599513409961688
17:30,102.13639846743288,24.903287356321844
18:00,90.20766283524902,24.505260536398467
18:30,62.648275862068935,25.073306513409957
19:00,58.19463601532569,24.280057471264374
19:30,37.65057471264368,1.6818659003831415
20:00,33.3095785440613,0.0
20:30,30.80229885057469,0.0
21:00,29.181609195402295,0.0
21:30,27.7846743295019,0.0
22:00,26.470498084291187,0.0
22:30,25.41685823754788,0.0
23:00,24.713409961685834,0.0
23:30,24.308045977011492,0.0
