date,elec1
2014-08-25,104.04899999999998
2014-08-26,140.61800000000002
2014-08-27,140.76399999999998
2014-08-28,139.462
2014-08-29,132.398
2014-08-30,102.24400000000006
2014-08-31,100.816
2014-09-01,133.133
2014-09-02,131.17800000000003
2014-09-03,133.13099999999997
2014-09-04,136.41900000000007
2014-09-05,136.30399999999997
2014-09-06,95.51099999999997
2014-09-07,87.77600000000001
2014-09-08,126.981
2014-09-09,129.176
2014-09-10,127.396
2014-09-11,126.62700000000002
2014-09-12,121.52600000000002
2014-09-13,91.107
2014-09-14,83.99
2014-09-15,124.13699999999997
2014-09-16,123.36099999999999
2014-09-17,114.36099999999998
2014-09-18,113.45800000000003
2014-09-19,107.05900000000001
2014-09-20,71.45499999999998
2014-09-21,73.32699999999997
2014-09-22,120.27899999999998
2014-09-23,116.58899999999998
2014-09-24,111.74600000000001
2014-09-25,113.51499999999999
2014-09-26,109.128
2014-09-27,78.81000000000004
2014-09-28,77.207
2014-09-29,109.36100000000002
2014-09-30,111.70700000000001
2014-10-01,113.87700000000001
2014-10-02,109.62500000000003
2014-10-03,106.43600000000002
2014-10-04,74.48599999999999
2014-10-05,72.968
2014-10-06,114.55999999999997
2014-10-07,112.38999999999999
2014-10-08,117.58700000000003
2014-10-09,111.716
2014-10-10,110.072
2014-10-11,71.26699999999998
2014-10-12,72.09400000000001
2014-10-13,110.793
2014-10-14,120.00799999999998
2014-10-15,118.15500000000003
2014-10-16,116.09
2014-10-17,114.89800000000001
2014-10-18,76.307
2014-10-19,74.506
2014-10-20,120.187
2014-10-21,123.03700000000003
2014-10-22,121.22499999999995
2014-10-23,122.91600000000001
2014-10-24,113.475
2014-10-25,76.07300000000002
2014-10-26,74.98600000000002
2014-10-27,116.252
2014-10-28,126.05899999999998
2014-10-29,131.43400000000003
2014-10-30,126.64200000000001
2014-10-31,122.51999999999998
2014-11-01,81.16100000000002
2014-11-02,80.52200000000002
2014-11-03,130.223
2014-11-04,142.83800000000002
2014-11-05,147.57500000000005
2014-11-06,143.81900000000002
2014-11-07,135.74900000000002
2014-11-08,99.561
2014-11-09,94.08400000000002
2014-11-10,136.28400000000002
2014-11-11,145.16299999999998
2014-11-12,136.076
2014-11-13,135.66200000000003
2014-11-14,134.6
2014-11-15,96.69299999999997
2014-11-16,93.90999999999997
2014-11-17,144.41199999999995
2014-11-18,144.04000000000005
2014-11-19,145.34799999999998
2014-11-20,144.779
2014-11-21,147.77299999999997
2014-11-22,127.825
2014-11-23,126.72599999999998
2014-11-24,176.22899999999998
2014-11-25,153.25300000000001
2014-11-26,144.62099999999998
2014-11-27,137.56499999999997
2014-11-28,151.497
2014-11-29,112.31700000000001
2014-11-30,91.38399999999999
2014-12-01,150.75399999999996
2014-12-02,158.056
2014-12-03,154.93099999999995
2014-12-04,161.72399999999996
2014-12-05,154.816
2014-12-06,101.26399999999998
2014-12-07,100.53499999999997
2014-12-08,164.48200000000006
2014-12-09,158.83
2014-12-10,161.47699999999992
2014-12-11,173.10299999999998
2014-12-12,153.97800000000004
2014-12-13,106.32500000000002
2014-12-14,106.06099999999999
2014-12-15,161.923
2014-12-16,154.422
2014-12-17,142.11700000000002
2014-12-18,138.19399999999996
2014-12-19,132.61599999999999
2014-12-20,93.397
2014-12-21,93.47299999999998
2014-12-22,131.546
2014-12-23,129.626
2014-12-24,101.601
2014-12-25,90.303
2014-12-26,91.20600000000002
2014-12-27,94.85999999999999
2014-12-28,98.224
2014-12-29,109.59100000000001
2014-12-30,109.37299999999998
2014-12-31,102.75299999999999
