length,elec1,elec2,gas
00:00,68.8173076923077,94.52884615384616,12.59725
00:30,69.40384615384616,88.95192307692308,13.893057692307691
01:00,66.0,86.17307692307692,14.718461538461538
01:30,75.42307692307692,86.58653846153847,95.63376923076918
02:00,62.65384615384615,86.5673076923077,12.489644230769231
02:30,63.63461538461539,86.41346153846153,10.979173076923077
03:00,62.70192307692308,86.47115384615384,13.229307692307692
03:30,61.95192307692308,86.14423076923077,12.582788461538463
04:00,58.91346153846154,86.09615384615384,11.099634615384616
04:30,62.25961538461539,86.66346153846153,17.078692307692307
05:00,63.94230769230769,86.9326923076923,9.602278846153846
05:30,64.78846153846153,88.45192307692308,22.393201923076923
06:00,67.6826923076923,91.3173076923077,12.273586538461538
06:30,94.9326923076923,92.51923076923077,96.17812499999997
07:00,94.84615384615384,91.25961538461539,55.35584615384616
07:30,116.52884615384616,95.11538461538461,117.9215096153846
08:00,122.63461538461539,97.85576923076923,69.37291346153846
08:30,128.8846153846154,106.6923076923077,107.47796153846147
09:00,136.375,116.22115384615384,68.68263461538461
09:30,139.59615384615384,120.5673076923077,68.95827884615383
10:00,142.3846153846154,118.3076923076923,66.29704807692308
10:30,141.79807692307693,114.9423076923077,62.576028846153854
11:00,145.22115384615384,115.01923076923077,62.340076923076936
11:30,146.97115384615384,117.99038461538461,62.262769230769244
12:00,148.39423076923077,118.73076923076923,59.556442307692315
12:30,144.39423076923077,120.07692307692308,52.08441346153846
13:00,146.2596153846154,120.75961538461539,51.97025
13:30,146.35576923076923,120.8076923076923,53.254826923076934
14:00,147.32692307692307,118.48076923076923,52.30595192307692
14:30,148.58653846153845,117.35576923076923,52.20405769230769
15:00,145.06730769230768,117.01923076923077,51.123240384615386
15:30,112.23076923076923,117.45192307692308,21.16649038461538
16:00,110.48076923076923,115.4423076923077,23.191836538461533
16:30,111.8173076923077,110.42307692307692,29.32440384615384
17:00,113.01923076923077,107.08653846153847,22.89522115384615
17:30,78.36538461538461,105.39423076923077,18.711240384615387
18:00,75.77884615384616,103.61538461538461,28.242778846153847
18:30,76.89423076923077,99.36538461538461,19.102932692307693
19:00,74.82692307692308,96.57692307692308,15.358163461538464
19:30,75.20192307692308,91.8173076923077,18.571682692307693
20:00,75.125,90.67307692307692,17.406471153846155
20:30,71.83653846153847,91.28846153846153,15.26310576923077
21:00,69.6923076923077,94.10576923076923,19.432067307692307
21:30,68.5576923076923,89.54807692307692,18.379115384615382
22:00,69.25,87.91346153846153,12.92175
22:30,68.97115384615384,85.86538461538461,52.90491346153847
23:00,68.39423076923077,85.0576923076923,15.47316346153846
23:30,73.2135922330097,85.71844660194175,20.714514563106793
