length,elec1,elec2,gas
00:00,0.26139423076923074,1.025317307692308,0.0
00:30,0.26115384615384607,1.0256153846153848,0.0
01:00,0.2607884615384615,1.0322211538461539,0.0
01:30,0.26235576923076925,1.0225288461538464,0.0
02:00,0.2576923076923076,1.017451923076923,0.0
02:30,0.2575865384615385,1.016221153846154,0.0
03:00,0.25739423076923074,1.0120769230769233,0.0
03:30,0.2578846153846153,1.0096634615384616,0.0
04:00,0.25859615384615375,1.0129423076923074,0.0
04:30,0.259298076923077,1.007721153846154,0.0
05:00,0.2582211538461538,1.001826923076923,0.0
05:30,0.25954807692307685,1.0075865384615386,0.0
06:00,0.25905769230769243,1.0060480769230773,0.0
06:30,0.2572403846153846,1.0004038461538465,0.0
07:00,0.2588365384615384,1.0035576923076925,0.0
07:30,0.26031730769230776,0.9982788461538464,0.0
08:00,0.2621153846153847,1.0056923076923077,0.0
08:30,0.2706057692307693,1.0139903846153846,0.0
09:00,0.2690096153846153,1.0113269230769233,0.0
09:30,0.2638942307692308,1.0166923076923076,0.0
10:00,0.26718269230769237,1.0207019230769228,0.0
10:30,0.2709326923076923,1.0195096153846155,0.0
11:00,0.2637307692307692,1.0231153846153846,0.0
11:30,0.2603846153846155,1.0233076923076925,0.0
12:00,0.26097115384615377,1.0312596153846154,0.0
12:30,0.2604615384615384,1.0331346153846155,0.0
13:00,0.26326923076923087,1.0294326923076929,0.0
13:30,0.2614903846153845,1.038230769230769,0.0
14:00,0.2584711538461537,1.0332596153846154,0.0
14:30,0.26210576923076934,1.0454038461538462,0.0
15:00,0.2614134615384615,1.0353653846153845,0.0
15:30,0.26030769230769235,1.0429134615384617,0.0
16:00,0.2637596153846153,1.044326923076923,0.0
16:30,0.26725000000000004,1.0429230769230768,0.0
17:00,0.2597884615384615,1.035278846153846,0.0
17:30,0.25928846153846147,1.0413173076923077,0.0
18:00,0.2589038461538463,1.0267692307692309,0.0
18:30,0.2612211538461538,1.023346153846154,0.0
19:00,0.2624230769230769,1.017019230769231,0.0
19:30,0.261028846153846,1.0168269230769227,0.0
20:00,0.256701923076923,1.0207115384615384,0.0
20:30,0.25837499999999997,1.0178942307692305,0.0
21:00,0.2590000000000001,1.0130673076923076,0.0
21:30,0.2582596153846154,1.0126057692307688,0.0
22:00,0.2609807692307691,1.0121250000000002,0.0
22:30,0.25979807692307694,1.0114903846153844,0.0
23:00,0.2596057692307693,1.0118749999999999,0.0
23:30,0.2598058252427184,1.0105436893203883,0.0
