date,elec1
2014-01-31,52081.44800000001
2014-02-28,45908.899000000056
2014-03-31,49347.63600000002
2014-04-30,47965.311000000016
2014-05-31,48815.965999999964
2014-06-30,50086.30500000006
2014-07-31,55716.81199999993
2014-08-31,49408.19599999994
2014-09-30,49944.97499999995
2014-10-31,51349.855
2014-11-30,49030.06499999993
2014-12-31,51926.12699999983
