length,elec1,elec2,elec3,elec4,elec5
00:00,3.0730769230769215,6.708846153846157,2.9763653846153826,7.067980769230774,0.3297115384615384
00:30,3.1072115384615406,6.93096153846154,2.9367115384615374,7.0473557692307685,0.3276923076923076
01:00,3.0605769230769235,7.136153846153848,2.921961538461538,6.936634615384616,0.3159615384615385
01:30,3.1043269230769233,7.107500000000002,2.8960865384615393,6.741634615384617,0.3157692307692308
02:00,3.0822115384615403,7.072307692307693,2.8259230769230776,6.6941826923076935,0.30951923076923077
02:30,3.0961538461538436,7.083269230769233,2.8095865384615397,6.614038461538461,0.30673076923076925
03:00,3.0649038461538463,7.110000000000001,2.8129134615384612,6.612980769230774,0.3089423076923076
03:30,3.092307692307692,7.104230769230771,2.8137499999999998,6.599807692307693,0.30855769230769226
04:00,3.048557692307693,7.1019230769230735,2.8027019230769232,6.6126923076923045,0.3104807692307692
04:30,3.0730769230769233,7.099807692307697,2.8093942307692297,6.625576923076922,0.3095192307692308
05:00,3.089903846153845,7.045384615384618,2.808432692307692,6.592115384615383,0.31067307692307694
05:30,3.0850961538461537,7.068461538461539,2.8277980769230764,6.601682692307695,0.30701923076923077
06:00,3.0874999999999995,7.276730769230768,2.8116730769230767,6.578221153846152,0.30701923076923077
06:30,3.10625,7.611346153846153,2.8063461538461545,6.593028846153848,0.3058653846153846
07:00,3.1673076923076904,7.824230769230765,2.8208461538461527,6.5337019230769195,0.3091346153846154
07:30,3.146634615384616,7.662884615384618,2.8031634615384626,6.538269230769229,0.3015384615384616
08:00,3.1846153846153844,7.689423076923076,2.822336538461537,6.616586538461542,0.3026923076923077
08:30,3.2057692307692296,7.589230769230769,2.9868076923076927,6.820769230769231,0.35192307692307695
09:00,3.2216346153846156,7.5757692307692315,3.1698173076923077,6.873846153846153,0.40326923076923077
09:30,3.1831730769230786,7.70192307692308,3.178451923076923,7.016394230769231,0.4123076923076923
10:00,3.2389423076923083,7.631346153846153,3.217009615384615,7.114134615384613,0.35884615384615376
10:30,3.194230769230768,7.508269230769229,3.283413461538464,7.150144230769237,0.35355769230769235
11:00,3.236057692307692,7.452884615384615,3.353538461538461,7.152211538461539,0.3356730769230769
11:30,3.1668269230769224,7.316538461538461,3.3844230769230768,7.158317307692307,0.30163461538461533
12:00,3.1918269230769236,7.249230769230768,3.342721153846152,7.141105769230768,0.30423076923076925
12:30,3.123557692307691,7.323076923076925,3.3545096153846155,7.1366826923076925,0.3552884615384615
13:00,3.1961538461538463,7.227115384615382,3.3600769230769236,7.137451923076924,0.35461538461538455
13:30,3.162019230769229,7.278076923076925,3.3005865384615385,7.1297115384615415,0.34048076923076925
14:00,3.215865384615384,7.430576923076923,3.3080000000000007,7.152788461538463,0.3542307692307692
14:30,3.1754807692307687,7.396346153846151,3.347153846153845,7.158221153846157,0.3985576923076923
15:00,3.2721153846153834,7.4067307692307685,3.3107596153846135,7.0818269230769255,0.4024038461538462
15:30,3.2283653846153846,7.532115384615385,3.2710480769230754,7.0843750000000005,0.37884615384615383
16:00,3.282692307692307,7.724999999999998,3.2117115384615387,7.099519230769232,0.36538461538461536
16:30,3.2769230769230764,7.688076923076922,3.1575096153846163,7.079038461538459,0.3680769230769231
17:00,3.270673076923075,7.51423076923077,3.0617307692307705,6.977403846153848,0.3753846153846154
17:30,3.3245192307692313,7.301730769230767,3.036596153846154,6.9478365384615435,0.37375
18:00,3.2096153846153834,7.18519230769231,3.095144230769231,6.918605769230771,0.36230769230769233
18:30,3.181249999999999,7.146923076923075,3.0736538461538463,6.8604807692307705,0.35644230769230767
19:00,3.200480769230769,7.053653846153845,3.0426634615384605,6.778413461538462,0.3563461538461538
19:30,3.1533653846153857,7.081538461538459,3.0430096153846162,6.712884615384616,0.3550961538461539
20:00,3.1158653846153848,7.060769230769234,3.0717596153846176,6.660528846153848,0.3566346153846153
20:30,3.1475961538461545,7.209423076923074,3.121942307692307,6.664374999999996,0.33384615384615385
21:00,3.0956730769230774,7.3048076923076914,3.154490384615384,6.594615384615386,0.3067307692307692
21:30,3.081730769230771,7.262499999999997,3.330826923076922,6.586490384615384,0.308076923076923
22:00,3.123076923076923,7.093653846153846,3.5297307692307696,6.553461538461539,0.3097115384615384
22:30,3.1038461538461553,6.7946153846153825,3.460855769230769,6.55591346153846,0.31442307692307686
23:00,3.0783653846153842,6.717500000000002,3.3626057692307687,6.511971153846156,0.3215384615384615
23:30,3.122815533980583,6.724466019417477,3.269427184466019,6.515242718446602,0.3302912621359223
