date,elec1,gas
2014-01-31,15874.450000000008,41983.94199999989
2014-02-28,14626.499999999995,28381.51400000007
2014-03-31,14025.449999999992,20535.376000000004
2014-04-30,13132.550000000007,12877.499000000058
2014-05-31,13126.29999999996,10946.401999999973
2014-06-30,11550.74999999998,448.0430000000002
2014-07-31,12818.850000000019,0.0
2014-08-31,11286.099999999995,0.0
2014-09-30,11477.499999999993,0.0
2014-10-31,14592.899999999998,7827.7599999999975
2014-11-30,16201.749999999998,21947.25199999983
2014-12-31,17923.399999999994,19544.52999999988
