length,elec1,elec2,gas
00:00,6.827799227799227,11.325289575289577,0.37393436293436305
00:30,7.595210727969345,11.239272030651343,0.4436321839080461
01:00,7.312835249042143,10.742720306513405,0.41798850574712665
01:30,7.315517241379314,10.675478927203066,0.3880996168582377
02:00,7.2992337164750944,10.662643678160926,0.3880344827586208
02:30,7.307088122605362,10.657088122605364,0.40098084291187747
03:00,7.309961685823759,10.702873563218397,0.3967049808429119
03:30,7.349233716475097,10.69865900383142,0.48189272030651364
04:00,7.335823754789273,10.67164750957854,0.3455478927203065
04:30,7.407854406130264,10.672988505747128,0.38798850574712657
05:00,7.403256704980848,10.642145593869726,0.4307471264367817
05:30,7.401724137931034,10.674521072796937,0.41383908045977025
06:00,7.093678160919539,10.727394636015331,0.41816858237547905
06:30,7.155363984674333,12.275670498084299,0.39674329501915717
07:00,9.246934865900384,13.265134099616866,0.3796781609195404
07:30,13.196360153256713,16.160919540229877,0.4222950191570882
08:00,14.6632183908046,19.609961685823755,0.43100383141762466
08:30,18.245019157088127,23.06992337164751,0.4696743295019158
09:00,20.618582375478933,25.76858237547893,0.5336283524904214
09:30,23.06245210727969,28.221072796934873,0.4609693486590039
10:00,23.333908045977,28.45153256704981,0.4822298850574714
10:30,23.025862068965512,28.712260536398446,0.49500766283524905
11:00,22.56283524904215,27.647126436781612,0.4352835249042147
11:30,22.277011494252886,27.769540229885056,0.3926590038314178
12:00,21.76973180076628,27.961111111111112,0.44365134099616865
12:30,21.490613026819922,28.06609195402298,0.4353946360153258
13:00,20.981034482758627,27.720881226053624,0.4908122605363986
13:30,20.45900383141763,27.26551724137931,0.3883486590038315
14:00,20.3977011494253,27.19693486590037,0.44382758620689666
14:30,20.459578544061298,27.497701149425282,0.44779693486590044
15:00,20.507662835249032,27.639846743295006,0.44822605363984686
15:30,20.374521072796934,27.474329501915697,0.41395402298850587
16:00,20.203065134099614,27.265325670498072,0.37119157088122623
16:30,20.16551724137932,27.04080459770113,0.379609195402299
17:00,20.029501915708817,26.971647509578563,0.4052643678160921
17:30,19.437164750957855,26.59616858237548,0.42251724137931046
18:00,17.748084291187737,24.736781609195397,0.4009961685823756
18:30,16.355938697318003,23.128927203065132,0.37126053639846757
19:00,14.25478927203065,21.386206896551716,0.4093831417624522
19:30,11.211494252873562,17.99885057471265,0.3967892720306514
20:00,10.367624521072795,15.24693486590038,0.41394636015325686
20:30,8.859195402298857,13.850766283524898,0.41385440613026825
21:00,8.435632183908046,13.343869731800764,0.35424137931034494
21:30,8.112835249042146,12.562643678160923,0.3965325670498086
22:00,7.486781609195402,12.342145593869724,0.43090421455938704
22:30,6.881417624521073,11.659770114942537,0.4054521072796936
23:00,6.5885057471264385,11.594252873563212,0.4011034482758622
23:30,6.441379310344822,11.555938697318007,0.3839118773946361
