length,elec1,gas
00:00,6.2634615384615415,5.134163461538462
00:30,6.242307692307694,4.898778846153847
01:00,6.17451923076923,5.075048076923077
01:30,6.150961538461539,4.987355769230769
02:00,6.183173076923078,5.015942307692309
02:30,6.225961538461538,4.898701923076923
03:00,6.217307692307693,5.134528846153847
03:30,6.167307692307691,4.898182692307692
04:00,6.109615384615386,5.046096153846154
04:30,6.075480769230769,4.986990384615384
05:00,6.017788461538459,5.045798076923077
05:30,5.964423076923075,5.075586538461538
06:00,5.9370192307692315,5.103923076923078
06:30,5.895673076923078,5.132932692307692
07:00,5.875,5.251240384615385
07:30,6.09471153846154,9.348788461538462
08:00,6.159615384615383,10.410432692307692
08:30,6.190865384615386,11.50347115384616
09:00,6.207692307692309,11.030471153846154
09:30,6.368750000000001,10.527855769230772
10:00,6.561057692307693,9.849192307692308
10:30,6.5879807692307715,9.789317307692308
11:00,6.621634615384613,9.700865384615387
11:30,6.6798076923076914,9.760528846153846
12:00,6.777403846153846,9.759615384615387
12:30,6.764423076923074,9.996048076923076
13:00,6.752884615384615,9.995384615384616
13:30,6.761057692307696,9.819009615384616
14:00,6.811538461538461,9.907326923076921
14:30,6.768749999999999,9.848269230769231
15:00,6.711057692307694,9.966365384615383
15:30,6.726923076923077,9.73043269230769
16:00,6.709615384615386,9.907557692307693
16:30,6.664903846153847,10.025298076923077
17:00,6.616346153846155,9.731028846153846
17:30,6.600961538461538,10.084086538461541
18:00,6.561538461538461,9.937451923076926
18:30,6.481730769230767,9.789134615384615
19:00,6.341346153846152,9.524375000000003
19:30,6.175000000000002,5.691471153846153
20:00,6.1283653846153845,5.2788942307692315
20:30,6.090384615384614,5.426201923076925
21:00,6.067307692307692,5.308471153846154
21:30,6.100961538461537,5.3082980769230765
22:00,6.072596153846158,5.514875
22:30,5.981730769230769,5.249346153846155
23:00,5.944230769230769,5.396807692307693
23:30,5.848058252427184,5.389747572815533
