length,elec1
00:00,20.46219230769231
00:30,19.142048076923086
01:00,18.99646153846154
01:30,18.780384615384616
02:00,18.918259615384628
02:30,18.64370192307692
03:00,18.450980769230764
03:30,18.472923076923088
04:00,18.513355769230774
04:30,18.619932692307692
05:00,18.694990384615387
05:30,19.444605769230762
06:00,19.740009615384622
06:30,19.511826923076928
07:00,19.56007692307692
07:30,20.160961538461535
08:00,21.358182692307686
08:30,23.585817307692302
09:00,22.54561538461539
09:30,22.200663461538458
10:00,22.063730769230766
10:30,22.30831730769231
11:00,22.45053846153846
11:30,22.510355769230767
12:00,22.582201923076923
12:30,22.55050961538462
13:00,22.774163461538464
13:30,22.85547115384616
14:00,22.81363461538462
14:30,22.67900961538461
15:00,22.724105769230782
15:30,22.607740384615383
16:00,22.531625
16:30,21.94229807692308
17:00,21.777375000000003
17:30,21.74577884615385
18:00,21.493624999999994
18:30,22.637625
19:00,22.562788461538467
19:30,22.138490384615377
20:00,22.109951923076927
20:30,21.840028846153857
21:00,21.29932692307693
21:30,20.282096153846165
22:00,20.39338461538462
22:30,20.357519230769224
23:00,20.328846153846143
23:30,20.320436893203876
