length,elec1,gas
00:00,14.246153846153847,0.0
00:30,14.15192307692308,0.0
01:00,14.07307692307692,0.0
01:30,14.094230769230764,0.0
02:00,14.125961538461533,0.0
02:30,14.149038461538469,0.0
03:00,14.074038461538471,0.0
03:30,14.114423076923082,0.0
04:00,14.196153846153852,0.10739423076923077
04:30,14.252884615384621,0.0
05:00,14.251923076923088,0.0
05:30,14.375,0.0
06:00,14.835576923076921,0.0
06:30,15.070192307692306,0.0
07:00,15.339423076923081,0.21560576923076924
07:30,15.993269230769226,3.887817307692308
08:00,16.7125,3.1217884615384617
08:30,16.804807692307698,1.5073365384615387
09:00,16.750000000000007,1.2903557692307692
09:30,16.744230769230768,9.006951923076924
10:00,16.591346153846157,9.432125000000001
10:30,16.29230769230769,3.3255865384615384
11:00,16.384615384615383,2.5749423076923077
11:30,16.257692307692313,2.6820673076923076
12:00,16.722115384615385,2.6820673076923076
12:30,16.644230769230774,2.5749423076923077
13:00,16.474999999999998,1.0752980769230769
13:30,16.447115384615383,1.0752980769230769
14:00,16.55576923076923,1.0752980769230769
14:30,16.449999999999992,1.0752980769230769
15:00,16.230769230769234,1.0752980769230769
15:30,16.208653846153847,0.9673557692307692
16:00,16.093269230769227,1.0752980769230769
16:30,15.118269230769227,0.0
17:00,15.068269230769236,0.0
17:30,15.044230769230767,0.0
18:00,15.049038461538458,0.0
18:30,15.086538461538465,0.0
19:00,15.17884615384615,0.0
19:30,15.198076923076922,0.0
20:00,14.940384615384618,0.0
20:30,14.731730769230778,0.0
21:00,14.640384615384615,0.0
21:30,14.662500000000003,0.0
22:00,14.522115384615388,0.0
22:30,14.430769230769242,0.0
23:00,14.249999999999998,0.0
23:30,14.202912621359221,0.0
