length,elec1,elec2,elec3,gas
00:00,3.537065637065634,19.288030888030885,13.091119691119689,17.969220077220076
00:30,3.7390804597701113,19.360919540229883,13.093103448275853,19.336731800766287
01:00,3.793869731800763,19.132567049808422,12.997701149425279,18.58323754789272
01:30,3.505747126436779,19.145210727969342,13.127586206896554,15.82769348659004
02:00,3.5854406130268166,19.092720306513414,13.103448275862068,18.7088122605364
02:30,3.293869731800765,18.71187739463603,13.114559386973168,17.37857088122606
03:00,3.314942528735628,19.105363984674337,13.108429118773943,16.196463601532567
03:30,3.291570881226051,19.272030651340994,13.131417624521065,16.365475095785445
04:00,3.3107279693486555,19.28122605363985,13.065900383141765,15.333551724137934
04:30,3.1781609195402276,19.259386973180074,13.03754789272031,18.828429118773947
05:00,3.127203065134095,19.296551724137935,13.083908045977008,21.868137931034486
05:30,3.2766283524904187,22.373563218390807,13.057471264367818,34.48509961685825
06:00,6.068965517241377,30.969348659003817,14.547509578544059,58.909965517241375
06:30,19.832183908045977,37.542528735632196,14.496168582375484,56.97405363984675
07:00,24.109578544061304,51.26704980842909,17.403065134099617,78.98404597701146
07:30,64.90727969348657,54.90842911877397,29.917624521072785,95.07503448275861
08:00,60.37701149425285,57.596168582375505,38.25057471264368,78.65454022988507
08:30,57.7463601532567,58.690421455938704,44.38314176245213,78.5986590038314
09:00,54.34865900383143,59.66130268199238,49.36819923371648,77.8773218390805
09:30,51.27126436781607,60.36360153256705,53.89578544061302,75.85506130268203
10:00,50.272413793103446,60.90153256704981,57.08275862068967,75.6683639846743
10:30,50.83869731800766,60.512643678160956,58.43371647509577,71.59055555555558
11:00,52.041379310344844,60.47164750957857,58.996934865900386,70.01095785440614
11:30,53.0371647509579,60.276628352490434,59.18199233716472,71.09165134099614
12:00,53.55440613026818,60.211111111111094,58.83639846743296,63.47211494252873
12:30,54.17318007662842,60.377011494252855,59.17931034482758,70.96157088122602
13:00,53.8582375478927,60.57011494252871,59.074712643678154,67.09385440613025
13:30,53.393103448275845,60.832567049808404,59.11839080459771,65.22330268199234
14:00,53.43869731800765,60.906896551724124,58.740996168582384,68.69326819923373
14:30,53.81877394636016,60.519923371647515,58.751340996168544,64.1328122605364
15:00,54.542145593869705,60.20613026819925,58.909578544061304,65.64124137931033
15:30,53.94789272030649,60.19770114942532,58.57854406130271,68.38229118773945
16:00,53.6394636015326,60.15440613026818,57.44789272030654,62.96117241379311
16:30,53.595785440613064,60.13869731800763,56.43103448275864,63.93009195402298
17:00,52.59042145593867,59.808429118773915,54.68620689655169,60.20936781609195
17:30,52.01877394636013,60.0329501915709,52.45938697318007,59.76778927203065
18:00,51.0367816091954,59.88620689655173,50.142145593869756,61.96690421455942
18:30,45.93371647509578,58.97088122605365,45.647126436781605,61.179770114942535
19:00,30.862068965517242,57.185057471264386,34.124137931034475,59.845490421455956
19:30,28.033333333333335,54.065134099616856,23.978544061302685,65.06396168582377
20:00,25.478544061302685,50.30268199233714,18.509578544061288,55.38815325670498
20:30,23.76130268199232,46.926819923371674,16.730651340996168,51.299731800766274
21:00,15.059770114942523,37.41302681992337,17.31724137931034,25.403245210727963
21:30,10.77164750957856,33.3406130268199,16.24099616858237,25.40134865900383
22:00,6.10651340996169,21.899616858237536,13.848275862068961,16.1294061302682
22:30,4.0942528735632155,19.34597701149424,13.40651340996168,16.92773946360153
23:00,3.822222222222218,19.142911877394628,13.204597701149424,17.253080459770118
23:30,3.5862068965517193,18.949425287356316,13.101532567049803,19.011168582375475
