length,elec1
00:00,0.13367307692307692
00:30,0.12838461538461537
01:00,0.12590384615384614
01:30,0.12815384615384617
02:00,0.12705769230769232
02:30,0.12809615384615386
03:00,0.13392307692307692
03:30,0.13509615384615387
04:00,0.12599038461538464
04:30,0.12870192307692307
05:00,0.13333653846153845
05:30,0.14318269230769234
06:00,0.12850961538461536
06:30,0.12484615384615382
07:00,0.1263076923076923
07:30,0.12268269230769231
08:00,0.12543269230769233
08:30,0.1250961538461538
09:00,0.1265865384615385
09:30,0.1232596153846154
10:00,0.1226442307692308
10:30,0.12365384615384617
11:00,0.12524999999999997
11:30,0.12314423076923081
12:00,0.12413461538461538
12:30,0.12375000000000003
13:00,0.12443269230769231
13:30,0.12348076923076921
14:00,0.12579807692307687
14:30,0.12839423076923076
15:00,0.12480769230769234
15:30,0.12339423076923077
16:00,0.12607692307692303
16:30,0.126
17:00,0.1267307692307692
17:30,0.12637500000000002
18:00,0.12489423076923076
18:30,0.12569230769230771
19:00,0.12559615384615383
19:30,0.12790384615384615
20:00,0.1268365384615385
20:30,0.1269807692307692
21:00,0.12711538461538463
21:30,0.1285769230769231
22:00,0.12920192307692305
22:30,0.12751923076923075
23:00,0.13336538461538464
23:30,0.1302038834951456
