length,elec1
00:00,21.557467181467178
00:30,20.075501915708802
01:00,19.519881226053638
01:30,19.11790421455939
02:00,19.00389655172413
02:30,18.782340996168582
03:00,18.69988122605364
03:30,18.642992337164763
04:00,18.62693486590038
04:30,18.914134099616856
05:00,18.921421455938685
05:30,30.295796934865887
06:00,32.04822222222224
06:30,29.86830268199233
07:00,31.075819923371636
07:30,33.1354367816092
08:00,34.52157854406126
08:30,44.66930651340994
09:00,46.11100766283527
09:30,49.57133716475092
10:00,53.35518773946361
10:30,57.15862068965523
11:00,57.54447509578542
11:30,57.75169731800763
12:00,58.19789272030652
12:30,58.345938697318
13:00,58.77552490421453
13:30,58.72594636015325
14:00,58.896157088122614
14:30,59.47486590038311
15:00,59.54589655172406
15:30,59.24433333333333
16:00,58.66222222222224
16:30,58.10460536398465
17:00,57.441697318007655
17:30,57.02083908045977
18:00,52.427839080459776
18:30,55.62485057471264
19:00,50.27491954022991
19:30,47.74000766283524
20:00,46.10460919540229
20:30,36.00885440613028
21:00,29.639394636015336
21:30,24.838160919540222
22:00,22.87528735632184
22:30,21.970252873563222
23:00,21.804057471264386
23:30,21.795122605363982
