length,elec1
00:00,0.0677799227799228
00:30,0.06549425287356321
01:00,0.06791570881226051
01:30,0.06524521072796932
02:00,0.06596934865900385
02:30,0.06703065134099621
03:00,0.06627969348659
03:30,0.06659003831417626
04:00,0.06682758620689655
04:30,0.06578927203065134
05:00,0.06770881226053642
05:30,0.06626436781609195
06:00,0.06772413793103449
06:30,0.0671954022988506
07:00,0.06903448275862065
07:30,0.06909195402298852
08:00,0.07124904214559387
08:30,0.07179693486590043
09:00,0.07333333333333335
09:30,0.07173180076628353
10:00,0.06810344827586211
10:30,0.0675402298850575
11:00,0.06546360153256706
11:30,0.06444444444444444
12:00,0.06557854406130267
12:30,0.06559003831417629
13:00,0.06387739463601534
13:30,0.06384674329501915
14:00,0.06455555555555555
14:30,0.06332950191570878
15:00,0.06320306513409961
15:30,0.06544061302681992
16:00,0.06461302681992338
16:30,0.06354406130268199
17:00,0.06462068965517244
17:30,0.06500383141762454
18:00,0.0666896551724138
18:30,0.0659425287356322
19:00,0.06777394636015328
19:30,0.06601532567049812
20:00,0.0685249042145594
20:30,0.06804597701149423
21:00,0.06651340996168584
21:30,0.06666283524904214
22:00,0.06562068965517241
22:30,0.06667432950191567
23:00,0.06711877394636011
23:30,0.06726923076923076
