length,elec1,elec2,elec3
00:00,10.298455598455586,3.9280347490347522,0.0
00:30,9.883908045977009,3.929015325670498,0.0
01:00,9.434482758620687,3.9166091954023,7.662835249042145e-06
01:30,8.983524904214557,3.9429846743295025,0.0
02:00,8.714559386973178,3.9499195402298852,0.0
02:30,8.54137931034483,3.967639846743293,0.0
03:00,8.687356321839083,4.245191570881225,0.0
03:30,8.77394636015325,5.226885057471263,0.0
04:00,8.999999999999998,5.617137931034486,0.0
04:30,9.430651340996173,6.525425287356325,0.0
05:00,12.919923371647515,22.537436781609216,0.0002490421455938699
05:30,16.588122605363992,16.0599540229885,2.2988505747126437e-05
06:00,19.37969348659004,31.181796934865893,0.0
06:30,20.433716475095768,24.93095019157088,1.9157088122605363e-05
07:00,20.858237547892735,27.553007662835242,1.532567049808429e-05
07:30,20.559386973180068,25.977693486590038,3.4482758620689657e-05
08:00,20.59770114942528,25.611739463601523,9.195402298850577e-05
08:30,21.031417624521065,26.279314176245215,0.0001647509578544062
09:00,22.39616858237548,27.1848275862069,7.662835249042147e-05
09:30,24.63295019157089,26.997448275862062,0.00014176245210727976
10:00,25.822605363984692,28.9493908045977,0.00016091954022988514
10:30,25.953256704980866,29.051218390804614,0.00015708812260536406
11:00,25.940996168582384,29.580291187739455,0.00011877394636015328
11:30,26.073180076628375,30.517831417624524,0.00013026819923371653
12:00,26.107279693486586,30.40938314176246,9.961685823754794e-05
12:30,26.101532567049812,31.022237547892708,0.00013026819923371653
13:00,25.85325670498083,31.195908045977014,9.195402298850577e-05
13:30,25.52222222222222,31.451348659003845,0.00011494252873563223
14:00,25.613793103448273,31.36776628352491,0.00013026819923371653
14:30,26.2367816091954,31.145084291187736,6.513409961685825e-05
15:00,26.51455938697318,31.353869731800778,0.0001302681992337165
15:30,26.574329501915702,31.151222222222227,9.961685823754793e-05
16:00,26.60306513409962,31.477091954022992,4.980842911877394e-05
16:30,26.52260536398468,31.21697701149424,0.00010727969348659007
17:00,26.334099616858225,31.28872413793103,5.74712643678161e-05
17:30,25.841762452107307,31.118624521072807,3.4482758620689657e-05
18:00,25.138697318007665,31.028521072796938,4.980842911877396e-05
18:30,24.01340996168584,30.305536398467442,4.980842911877396e-05
19:00,22.89003831417624,29.702000000000016,4.597701149425287e-05
19:30,19.951724137931024,16.3606398467433,8.429118773946363e-05
20:00,18.84137931034483,13.453517241379316,1.9157088122605363e-05
20:30,16.63984674329502,5.513923371647513,1.532567049808429e-05
21:00,15.636015325670497,4.078195402298849,2.2988505747126437e-05
21:30,15.033333333333333,3.992034482758622,3.065134099616858e-05
22:00,14.290038314176243,3.91430651340996,0.0
22:30,12.911877394636019,3.8774444444444423,3.8314176245210725e-06
23:00,11.771647509578541,3.8405363984674312,3.8314176245210725e-06
23:30,11.2367816091954,3.804448275862069,0.0
