date,elec1,gas
2014-01-31,54482.69999999999,16653.710999999996
2014-02-28,48266.700000000135,36242.78500000001
2014-03-31,27096.700000000023,19611.293999999983
2014-04-30,16355.499999999993,657.1100000000001
2014-05-31,15252.700000000033,4425.861999999999
2014-06-30,17735.50000000002,3077.1380000000067
2014-07-31,17466.19999999999,0.0
2014-08-31,11591.600000000004,0.0
2014-09-30,14883.299999999988,0.0
2014-10-31,40148.10000000001,7190.830999999988
2014-11-30,43204.49999999999,34629.025999999976
2014-12-31,33104.300000000025,35566.518
