date,elec1,elec2,elec3,elec4,elec5
2014-01-31,9075.799999999992,9370.15999999998,21640.518000000004,21213.51999999998,8617.170000000002
2014-02-28,9090.149999999996,12638.260000000007,12778.478999999981,17715.540000000026,3929.879999999997
2014-03-31,7396.199999999996,15944.539999999966,11082.923000000008,17461.37999999999,0.0
2014-04-30,4402.999999999995,12296.200000000024,9828.239000000009,15347.620000000006,0.0
2014-05-31,4668.500000000001,10854.919999999966,9899.079000000003,15586.599999999993,0.0
2014-06-30,6202.7499999999945,12390.280000000004,9903.449999999993,15759.05500000002,0.0
2014-07-31,7425.099999999989,14637.980000000009,10544.422999999999,18080.420000000013,0.0
2014-08-31,4786.850000000003,14217.860000000008,9743.22,14793.480000000001,0.0
2014-09-30,4342.299999999993,14492.520000000028,10562.467000000011,15245.91999999995,0.0
2014-10-31,4551.9000000000015,14516.63999999999,10959.271000000004,15814.720000000007,0.0
2014-11-30,5777.349999999992,17432.799999999992,10396.810999999989,16595.25999999998,0.0
2014-12-31,6737.100000000003,17995.27999999999,10509.256000000003,17867.819999999992,0.0
