length,elec1,gas
00:00,23.17499999999999,0.0
00:30,25.32499999999999,0.0
01:00,25.22307692307693,0.0
01:30,24.923076923076913,0.0
02:00,24.480769230769223,0.0
02:30,24.465384615384615,0.0
03:00,24.39999999999999,0.0
03:30,24.22115384615386,0.0
04:00,24.253846153846148,0.0
04:30,24.307692307692307,0.0
05:00,24.167307692307695,0.0
05:30,24.142307692307686,0.0
06:00,23.867307692307687,0.095875
06:30,21.223076923076917,1.0332884615384617
07:00,21.34807692307693,1.2034807692307692
07:30,22.651923076923083,18.29107692307692
08:00,22.76346153846153,4.740990384615385
08:30,22.992307692307687,2.9844038461538465
09:00,23.173076923076913,2.9950384615384618
09:30,23.296153846153853,2.535288461538461
10:00,23.726923076923075,2.367355769230769
10:30,23.87692307692308,2.984509615384615
11:00,23.726923076923075,3.048067307692307
11:30,23.74807692307692,3.8238942307692314
12:00,23.85192307692307,2.7283173076923073
12:30,23.73076923076924,1.3437403846153846
13:00,23.471153846153836,1.8332692307692304
13:30,23.157692307692322,0.0
14:00,23.300000000000004,0.0
14:30,23.278846153846157,0.0
15:00,23.24615384615383,0.0
15:30,23.196153846153834,0.0
16:00,23.225,0.0
16:30,23.68653846153847,0.0
17:00,23.450000000000006,0.0
17:30,23.05192307692308,0.0
18:00,22.98076923076923,0.0
18:30,22.92884615384615,0.0
19:00,22.792307692307688,0.0
19:30,22.769230769230766,0.0
20:00,22.705769230769242,0.0
20:30,22.630769230769225,0.0
21:00,22.503846153846155,0.0
21:30,22.34230769230768,0.0
22:00,22.205769230769228,0.0
22:30,22.08846153846154,0.0
23:00,22.109615384615388,0.0
23:30,22.16504854368932,0.0
