date,elec1,gas
2014-01-01,0.0,953.4800000000001
2014-01-02,0.0,958.8990000000002
2014-01-03,0.0,931.427
2014-01-04,0.0,116.27600000000012
2014-01-05,0.0,122.32000000000014
2014-01-06,0.0,1204.869
2014-01-07,0.0,1051.1240000000007
2014-01-08,0.0,761.442
2014-01-09,0.0,964.7519999999996
2014-01-10,0.0,976.6259999999997
2014-01-11,0.0,116.36400000000006
2014-01-12,0.0,116.50800000000007
2014-01-13,0.0,1330.5719999999997
2014-01-14,0.0,1301.2879999999996
2014-01-15,0.0,965.3340000000001
2014-01-16,0.0,899.2570000000005
2014-01-17,0.0,978.5590000000007
2014-01-18,0.0,113.36200000000007
2014-01-19,0.0,36.792
2014-01-20,0.0,1017.3980000000004
2014-01-21,0.0,1239.6720000000003
2014-01-22,0.0,932.8870000000006
2014-01-23,0.0,990.0630000000003
2014-01-24,0.0,974.9420000000003
2014-01-25,0.0,119.80599999999994
2014-01-26,0.0,138.05800000000008
2014-01-27,0.0,1290.9870000000003
2014-01-28,0.0,1107.4950000000006
2014-01-29,0.0,1075.2740000000013
2014-01-30,0.0,844.3520000000003
2014-01-31,0.0,989.1890000000003
2014-02-01,0.0,129.18799999999996
2014-02-02,0.0,131.92600000000007
2014-02-03,0.0,1186.37
2014-02-04,0.0,1112.6840000000002
2014-02-05,0.0,853.3970000000004
2014-02-06,0.0,910.0079999999998
2014-02-07,0.0,873.9660000000005
2014-02-08,0.0,119.34200000000013
2014-02-09,0.0,131.75000000000009
2014-02-10,0.0,1336.7069999999992
2014-02-11,0.0,1204.8790000000006
2014-02-12,0.0,889.0980000000004
2014-02-13,0.0,892.1640000000002
2014-02-14,0.0,933.7429999999996
2014-02-15,0.0,128.86799999999997
2014-02-16,0.0,131.67000000000013
2014-02-17,0.0,1103.633
2014-02-18,0.0,1069.9800000000007
2014-02-19,0.0,805.1139999999996
2014-02-20,0.0,748.259
2014-02-21,0.0,833.912
2014-02-22,0.0,119.57400000000007
2014-02-23,0.0,107.1020000000001
2014-02-24,0.0,1006.081
2014-02-25,0.0,891.4669999999999
2014-02-26,0.0,797.9399999999998
2014-02-27,0.0,755.3259999999998
2014-02-28,0.0,913.4270000000002
2014-03-01,0.0,55.18800000000002
2014-03-02,0.0,0.0
2014-03-03,0.0,913.6199999999998
2014-03-04,0.0,961.1930000000001
2014-03-05,0.0,469.0769999999998
2014-03-06,0.0,755.9429999999998
2014-03-07,0.0,690.0049999999999
2014-03-08,0.0,110.37600000000006
2014-03-09,0.0,110.16000000000011
2014-03-10,0.0,830.7739999999999
2014-03-11,0.0,852.309
2014-03-12,0.0,679.0729999999998
2014-03-13,0.0,427.1830000000001
2014-03-14,0.0,628.6960000000001
2014-03-15,0.0,113.44200000000006
2014-03-16,0.0,113.44200000000006
2014-03-17,0.0,895.2320000000003
2014-03-18,0.0,919.758
2014-03-19,0.0,668.357
2014-03-20,0.0,683.6840000000003
2014-03-21,0.0,702.0820000000001
2014-03-22,0.0,122.40000000000013
2014-03-23,0.0,119.26200000000013
2014-03-24,0.0,935.7480000000008
2014-03-25,0.0,984.6760000000003
2014-03-26,0.0,677.4900000000001
2014-03-27,0.0,689.8180000000002
2014-03-28,0.0,633.1159999999999
2014-03-29,0.0,0.0
2014-03-30,0.0,0.0
2014-03-31,0.0,101.17399999999999
2014-04-01,0.0,0.0
2014-04-02,0.0,349.5049999999998
2014-04-03,0.0,562.3490000000003
2014-04-04,0.0,479.49400000000014
2014-04-05,0.0,0.0
2014-04-06,0.0,0.0
2014-04-07,0.0,751.8960000000003
2014-04-08,0.0,800.4899999999993
2014-04-09,0.0,529.0340000000003
2014-04-10,0.0,424.9990000000001
2014-04-11,0.0,396.565
2014-04-12,0.0,0.0
2014-04-13,0.0,0.0
2014-04-14,0.0,597.8369999999996
2014-04-15,0.0,675.587
2014-04-16,0.0,534.8259999999998
2014-04-17,0.0,566.8220000000002
2014-04-18,0.0,533.1130000000002
2014-04-19,0.0,0.0
2014-04-20,0.0,0.0
2014-04-21,0.0,695.1220000000001
2014-04-22,0.0,651.8710000000002
2014-04-23,0.0,557.3159999999998
2014-04-24,0.0,556.2600000000003
2014-04-25,0.0,645.8359999999999
2014-04-26,0.0,117.0439999999999
2014-04-27,0.0,113.80999999999996
2014-04-28,0.0,776.8919999999995
2014-04-29,0.0,763.1899999999995
2014-04-30,0.0,564.4580000000003
2014-05-01,0.0,596.2540000000001
2014-05-02,0.0,608.6110000000003
2014-05-03,0.0,380.37500000000006
2014-05-04,0.0,0.0
2014-05-05,0.0,666.9910000000003
2014-05-06,0.0,628.1580000000001
2014-05-07,0.0,593.4209999999998
2014-05-08,632.9000000000001,569.9040000000002
2014-05-09,1215.4000000000003,590.335
2014-05-10,916.6,119.65400000000007
2014-05-11,720.5000000000002,45.99000000000001
2014-05-12,1102.6999999999998,453.74199999999996
2014-05-13,1285.2999999999997,795.4899999999998
2014-05-14,1315.8999999999999,628.6959999999998
2014-05-15,1300.6000000000001,543.857
2014-05-16,1253.1999999999996,510.2370000000002
2014-05-17,953.8,113.9619999999999
2014-05-18,976.4999999999999,43.08400000000001
2014-05-19,1354.5000000000002,387.28299999999996
2014-05-20,1383.4000000000003,605.512
2014-05-21,1325.1999999999998,509.0929999999997
2014-05-22,1317.4000000000003,514.2790000000002
2014-05-23,1257.8000000000002,543.5800000000003
2014-05-24,871.9999999999999,123.55999999999996
2014-05-25,871.2999999999998,116.94699999999995
2014-05-26,872.4,21.518
2014-05-27,1199.1,209.547
2014-05-28,1294.0,511.53699999999986
