date,elec1,elec2,elec3
2014-01-01,478.1000000000002,381.336,0.0
2014-01-02,824.6,699.1370000000001,0.0
2014-01-03,873.5000000000001,781.883,0.0
2014-01-04,495.5,257.70500000000004,0.0
2014-01-05,362.20000000000016,304.096,0.0
2014-01-06,943.1000000000001,857.5009999999999,0.0
2014-01-07,917.3000000000001,871.8070000000001,0.0
2014-01-08,911.0000000000002,904.3280000000003,0.0
2014-01-09,925.5999999999998,912.773,0.0
2014-01-10,939.0,994.619,0.0
2014-01-11,402.0,239.689,0.0
2014-01-12,374.6,300.8090000000001,0.0
2014-01-13,903.3,892.275,0.0
2014-01-14,883.1000000000004,945.494,0.0
2014-01-15,930.6999999999999,895.3499999999999,0.0
2014-01-16,948.3000000000001,920.9490000000004,0.0
2014-01-17,935.3000000000002,914.343,0.0
2014-01-18,389.4000000000001,172.16300000000004,0.0
2014-01-19,380.59999999999997,186.605,0.0
2014-01-20,937.9,981.2670000000002,0.0
2014-01-21,964.0999999999997,1009.9169999999997,0.0
2014-01-22,945.0,924.4959999999999,0.0
2014-01-23,925.6,991.4059999999998,0.0
2014-01-24,891.7,964.408,0.0
2014-01-25,410.50000000000006,178.36800000000005,0.0
2014-01-26,398.90000000000003,316.1070000000001,0.0
2014-01-27,934.9000000000001,980.4150000000002,0.0
2014-01-28,923.1999999999998,1013.4080000000001,0.0
2014-01-29,950.3999999999997,995.5339999999997,0.0
2014-01-30,944.9,987.9459999999999,0.0
2014-01-31,935.0,940.2909999999998,0.0
2014-02-01,417.6,187.234,0.0
2014-02-02,405.20000000000005,170.64700000000002,0.0
2014-02-03,947.7999999999997,955.3849999999999,0.0
2014-02-04,945.3999999999996,910.55,0.0
2014-02-05,912.3,865.5039999999997,0.0
2014-02-06,909.3999999999999,821.5930000000001,0.0
2014-02-07,903.2000000000002,884.2600000000001,0.0
2014-02-08,500.6000000000001,154.10299999999998,0.0
2014-02-09,402.7000000000001,198.435,0.0
2014-02-10,973.7,972.2189999999999,0.0
2014-02-11,956.3,951.66,0.0
2014-02-12,952.2,890.2830000000004,0.0
2014-02-13,934.9,923.207,0.0
2014-02-14,913.8000000000001,917.872,0.0
2014-02-15,425.19999999999993,184.279,0.0
2014-02-16,377.2000000000001,310.656,0.0
2014-02-17,935.8999999999997,889.998,0.0
2014-02-18,951.0000000000002,848.8609999999999,0.0
2014-02-19,938.7,836.833,0.0
2014-02-20,960.2,809.9329999999999,0.0
2014-02-21,920.6999999999999,886.5619999999999,0.0
2014-02-22,435.8,196.37900000000002,0.0
2014-02-23,408.7,164.259,0.0
2014-02-24,958.1999999999998,905.0650000000002,0.0
2014-02-25,944.2000000000004,851.6529999999999,0.0
2014-02-26,909.4,845.2229999999998,0.0
2014-02-27,915.1999999999999,934.7989999999999,0.0
2014-02-28,917.0999999999997,930.8219999999998,0.0
2014-03-01,401.5999999999999,289.60099999999983,0.0
2014-03-02,395.29999999999995,266.87,0.0
2014-03-03,913.0000000000001,860.1930000000002,0.0
2014-03-04,910.3,925.917,0.0
2014-03-05,920.6999999999999,930.7170000000001,0.0
2014-03-06,928.3000000000001,978.0039999999999,0.0
2014-03-07,925.4999999999999,950.717,0.0
2014-03-08,432.1000000000001,154.70700000000005,0.0
2014-03-09,389.5999999999999,138.61999999999995,0.0
2014-03-10,889.6,986.9660000000002,0.0
2014-03-11,925.9000000000001,874.2669999999999,0.0
2014-03-12,911.4000000000001,1034.088,0.0
2014-03-13,924.0999999999998,967.8819999999996,0.0
2014-03-14,881.1000000000003,961.5799999999999,0.0
2014-03-15,404.4000000000001,133.722,0.0
2014-03-16,396.3000000000001,136.21999999999997,0.0
2014-03-17,907.8,961.92,0.0
2014-03-18,921.4000000000002,943.875,0.0
2014-03-19,931.3000000000003,910.3960000000003,0.0
2014-03-20,942.9999999999998,866.253,0.0
2014-03-21,890.8,756.6059999999998,0.0
2014-03-22,495.30000000000007,621.463,0.0
2014-03-23,506.6,669.2620000000002,0.0
2014-03-24,913.0999999999998,1062.8029999999997,0.0
2014-03-25,933.0999999999999,894.5610000000001,0.0
2014-03-26,918.8999999999999,974.2500000000001,0.0
2014-03-27,938.1000000000001,960.893,0.0
2014-03-28,970.0000000000002,969.7420000000001,0.0
2014-03-29,426.40000000000003,142.25300000000001,0.0
2014-03-30,413.9,124.66999999999999,0.0
2014-03-31,913.5,947.4580000000002,0.0
2014-04-01,915.6,1013.2940000000001,0.0
2014-04-02,936.8000000000001,990.34,0.0
2014-04-03,955.9,967.8729999999999,0.0
2014-04-04,924.6000000000001,937.6530000000001,0.0
2014-04-05,492.6,484.5470000000001,0.0
2014-04-06,418.4,159.18100000000004,0.0
2014-04-07,942.0,946.2190000000002,0.0
2014-04-08,916.7000000000002,987.6570000000002,0.0
2014-04-09,929.2000000000002,987.3569999999999,0.0
2014-04-10,924.5999999999999,985.753,0.0
2014-04-11,928.3000000000001,982.2560000000001,0.0
2014-04-12,396.00000000000006,155.59600000000006,0.0
2014-04-13,392.3,146.76999999999995,0.0
2014-04-14,894.8000000000001,1011.853,0.0
2014-04-15,910.8999999999999,1008.5660000000001,0.0
2014-04-16,908.5999999999999,1015.552,0.0
2014-04-17,888.2,984.307,0.0
2014-04-18,530.7000000000002,860.3839999999997,0.0
2014-04-19,415.1000000000001,189.72499999999997,0.0
2014-04-20,393.6,144.77500000000003,0.0
2014-04-21,519.0999999999999,888.5140000000002,0.0
2014-04-22,936.8000000000001,930.5069999999998,0.0
2014-04-23,925.8,961.8639999999999,0.0
2014-04-24,945.1000000000003,986.2260000000001,0.0
