length,elec1
00:00,0.13224710424710423
00:30,0.128103448275862
01:00,0.12736015325670494
01:30,0.12846743295019156
02:00,0.1285095785440613
02:30,0.12940229885057467
03:00,0.13491187739463592
03:30,0.1350689655172413
04:00,0.13181609195402294
04:30,0.13009961685823757
05:00,0.1422681992337165
05:30,0.13286206896551722
06:00,0.12748275862068972
06:30,0.1260268199233717
07:00,0.1262375478927203
07:30,0.13070498084291188
08:00,0.12933716475095783
08:30,0.12969731800766274
09:00,0.13249808429118773
09:30,0.13050191570881217
10:00,0.1310804597701149
10:30,0.13014942528735626
11:00,0.12822222222222232
11:30,0.12679693486590035
12:00,0.13011494252873557
12:30,0.134176245210728
13:00,0.1291800766283525
13:30,0.12766666666666665
14:00,0.12858237547892715
14:30,0.1318697318007663
15:00,0.1292260536398467
15:30,0.1316743295019157
16:00,0.13196168582375475
16:30,0.12845210727969347
17:00,0.12802681992337167
17:30,0.12985057471264366
18:00,0.12899233716475098
18:30,0.12784291187739466
19:00,0.13060536398467434
19:30,0.13121839080459768
20:00,0.13069731800766285
20:30,0.13160153256704987
21:00,0.12903831417624523
21:30,0.13163218390804604
22:00,0.1314942528735632
22:30,0.13193103448275859
23:00,0.13314942528735632
23:30,0.1330766283524904
