length,elec1,elec2,elec3,gas
00:00,3.6163461538461523,19.784615384615385,12.63076923076924,11.821846153846156
00:30,3.9807692307692317,20.229807692307695,12.610576923076922,17.569451923076922
01:00,3.8461538461538467,19.805769230769233,12.579807692307687,14.008019230769232
01:30,3.7144230769230755,20.765384615384612,12.640384615384612,13.596961538461539
02:00,4.13846153846154,20.541346153846163,12.633653846153845,17.67628846153846
02:30,3.2990384615384594,20.344230769230776,12.592307692307696,14.325326923076924
03:00,3.425000000000001,20.6076923076923,12.59134615384615,13.48958653846154
03:30,3.4221153846153842,20.304807692307694,12.652884615384616,16.624480769230768
04:00,3.470192307692308,20.601923076923075,12.636538461538457,13.489576923076923
04:30,3.5298076923076924,21.13173076923077,12.600961538461538,15.689365384615384
05:00,3.5721153846153864,21.192307692307693,12.568269230769232,14.738519230769231
05:30,3.228846153846154,20.939423076923074,12.675961538461538,15.277500000000002
06:00,3.417307692307694,21.136538461538468,13.05673076923077,16.836548076923073
06:30,3.360576923076924,21.83653846153846,12.773076923076927,13.072115384615385
07:00,3.1692307692307717,23.93653846153845,13.39423076923077,16.11298076923077
07:30,3.283653846153847,23.725961538461526,13.461538461538463,19.797538461538462
08:00,3.3509615384615383,23.49134615384615,14.205769230769228,19.72810576923077
08:30,4.5153846153846136,24.01442307692308,15.178846153846154,20.22382692307692
09:00,4.628846153846152,24.098076923076924,15.888461538461542,17.49278846153846
09:30,5.090384615384616,24.819230769230764,16.31057692307693,19.810105769230766
10:00,6.026923076923077,24.95480769230769,16.44903846153846,20.206980769230768
10:30,5.838461538461538,25.223076923076913,16.524038461538463,16.55129807692308
11:00,5.696153846153849,24.55673076923076,16.595192307692308,14.86805769230769
11:30,5.83846153846154,24.609615384615378,16.504807692307693,18.32533653846154
12:00,6.395192307692306,24.535576923076917,16.37307692307692,15.200067307692306
12:30,6.125000000000001,24.97211538461538,16.148076923076925,15.276951923076924
13:00,6.149038461538462,25.001923076923067,15.958653846153847,14.444432692307693
13:30,6.133653846153848,24.860576923076913,15.640384615384619,12.243048076923078
14:00,6.007692307692308,24.97403846153846,15.471153846153843,15.99441346153846
14:30,5.726923076923078,24.961538461538453,15.288461538461537,19.648778846153846
15:00,5.606730769230771,24.76634615384615,14.957692307692307,15.266567307692307
15:30,5.816346153846155,24.76923076923076,14.592307692307692,16.51603846153846
16:00,5.849038461538465,24.32692307692308,14.364423076923078,14.955673076923075
16:30,5.689423076923078,24.321153846153855,13.882692307692311,14.215288461538462
17:00,5.639423076923077,24.515384615384605,13.672115384615383,14.426278846153847
17:30,5.501923076923078,24.51346153846155,13.49423076923077,17.66239423076923
18:00,5.039423076923076,24.709615384615383,13.40192307692307,19.531259615384617
18:30,5.222115384615387,24.70673076923077,13.30769230769231,19.244932692307692
19:00,5.255769230769234,24.79326923076923,13.255769230769234,16.619653846153845
19:30,4.866346153846152,24.68365384615384,13.062500000000004,19.536865384615385
20:00,4.869230769230769,24.932692307692307,12.915384615384621,14.53046153846154
20:30,4.720192307692307,24.696153846153837,12.889423076923075,20.274576923076925
21:00,4.1471153846153825,23.89423076923078,12.924999999999995,16.928423076923078
21:30,4.170192307692304,23.65096153846154,12.815384615384612,15.782326923076925
22:00,3.8009615384615385,21.517307692307686,12.701923076923077,16.395028846153846
22:30,3.6798076923076914,21.67115384615384,12.616346153846154,17.456201923076925
23:00,3.5913461538461555,21.030769230769234,12.574038461538462,18.507759615384618
23:30,3.5097087378640777,21.24757281553398,12.502912621359222,18.466563106796116
